"station_id","station_name","latitude","longitude","Date","E Coli Concentration ","Enterococcus Bacteria Concentration ","Air Temperature ","Water Temperature ","Turbidity "
"J30","James River at Scottsville",37.797533,-78.49055,2013-08-01 00:00:00,0,NA,27,25,1.77
"J05","James River at Jamestown Beach",37.2239,-76.788613,2013-08-01 00:00:00,1,NA,27.5,27,14.4
"A02","Appomattox River at Hopewell",37.311187,-77.297991,2013-08-01 00:00:00,16,NA,22.5,24,8.53
"J35","James River at Lynchburg",37.41605,-79.13675,2013-08-01 00:00:00,0,NA,27,25,1.92
"J10","James River at 14th Street",37.530947,-77.431925,2013-08-01 00:00:00,2,NA,24,26,3.37
"J15",NA,37.530947,-77.431925,2013-08-01 00:00:00,1,NA,24,26,3.37
"J20","James River at Tredegar Beach",37.534353,-77.445372,2013-08-01 00:00:00,3,NA,23.5,26,3.36
"J40","James River at Buchanan",37.529933,-79.679078,2013-08-02 00:00:00,9,NA,27,23,2.81
"A02","Appomattox River at Hopewell",37.311187,-77.297991,2013-08-08 00:00:00,1,NA,27,27,3.16
"A01","Appomattox River at City Point",37.316523,-77.273569,2013-08-08 00:00:00,3,NA,29.3,26,15.3
"J35","James River at Lynchburg",37.41605,-79.13675,2013-08-08 00:00:00,0,NA,28,25,1.3
"J25","James River at Maidens",37.6661,-77.888811,2013-08-08 00:00:00,8,NA,28,25,27.4
"J10","James River at 14th Street",37.530947,-77.431925,2013-08-08 00:00:00,0,NA,27.5,27,9.87
"J30","James River at Scottsville",37.797533,-78.49055,2013-08-08 00:00:00,4.5,NA,26,25,1.84
"J15",NA,37.530947,-77.431925,2013-08-08 00:00:00,0,NA,28.5,26.5,11.85
"J20","James River at Tredegar Beach",37.534353,-77.445372,2013-08-08 00:00:00,0,NA,27,27,10.83
"J40","James River at Buchanan",37.529933,-79.679078,2013-08-08 00:00:00,1,NA,28,24,1.81
"J05","James River at Jamestown Beach",37.2239,-76.788613,2013-08-08 00:00:00,1,NA,28.5,27,NA
"J35","James River at Lynchburg",37.41605,-79.13675,2013-08-15 00:00:00,0,NA,24,25.5,2.04
"J15",NA,37.530947,-77.431925,2013-08-15 00:00:00,2,NA,21,25,4.13
"A01","Appomattox River at City Point",37.316523,-77.273569,2013-08-15 00:00:00,1,NA,19,27,45
"J05","James River at Jamestown Beach",37.2239,-76.788613,2013-08-15 00:00:00,0,NA,24.9,25,11.9
"J40","James River at Buchanan",37.529933,-79.679078,2013-08-15 00:00:00,12,NA,24,22,2.51
"J30","James River at Scottsville",37.797533,-78.49055,2013-08-15 00:00:00,3,NA,19.5,24.5,2.64
"J20","James River at Tredegar Beach",37.534353,-77.445372,2013-08-15 00:00:00,1,NA,22,25,4.7
"J25","James River at Maidens",37.6661,-77.888811,2013-08-15 00:00:00,0,NA,25,24.5,12.2
"J10","James River at 14th Street",37.530947,-77.431925,2013-08-15 00:00:00,3,NA,22,25,4.7
"A02","Appomattox River at Hopewell",37.311187,-77.297991,2013-08-15 00:00:00,5,NA,19,24,2.25
"A01","Appomattox River at City Point",37.316523,-77.273569,2013-08-22 00:00:00,2,NA,28.5,26.5,17.2
"J35","James River at Lynchburg",37.41605,-79.13675,2013-08-22 00:00:00,0,NA,31,23,1.98
"J10","James River at 14th Street",37.530947,-77.431925,2013-08-22 00:00:00,2,NA,26,27,7.09
"J30","James River at Scottsville",37.797533,-78.49055,2013-08-22 00:00:00,0,NA,30.5,27,2.55
"J25","James River at Maidens",37.6661,-77.888811,2013-08-22 00:00:00,0,NA,23.5,24,6.6
"J20","James River at Tredegar Beach",37.534353,-77.445372,2013-08-22 00:00:00,2,NA,26,24.5,6.76
"J05","James River at Jamestown Beach",37.2239,-76.788613,2013-08-22 00:00:00,0,NA,27,26.5,12.6
"J15",NA,37.530947,-77.431925,2013-08-22 00:00:00,3,NA,25,24,6.75
"A02","Appomattox River at Hopewell",37.311187,-77.297991,2013-08-22 00:00:00,16,NA,26.5,25.5,3.52
"J25","James River at Maidens",37.6661,-77.888811,2013-08-29 00:00:00,0,NA,26,25,4.31
"J30","James River at Scottsville",37.797533,-78.49055,2013-08-29 00:00:00,1,NA,28.5,26,1.3
"J40","James River at Buchanan",37.529933,-79.679078,2013-08-29 00:00:00,10,NA,26,24,2.26
